498,158,513,261
498,112,513,157
498,74,513,111
498,50,513,55
496,264,513,317
478,250,491,263
474,56,495,77
474,50,495,55
472,328,513,513
472,264,491,307
472,196,493,247
472,160,493,195
472,78,493,159
460,50,469,55
458,56,469,513
442,482,453,513
442,348,453,435
440,50,453,55
372,0,513,49
340,328,441,457
292,0,365,55
280,0,285,17
262,56,453,187
250,80,261,163
250,0,275,49
234,330,339,459
234,192,451,323
234,88,239,157
228,0,247,37
210,170,225,183
204,376,229,459
204,184,225,375
204,122,225,169
204,56,225,121
204,0,223,41
188,0,197,459
142,0,183,459
134,392,141,459
128,180,133,187
126,204,135,215
0,462,443,513
0,0,119,457
