498,158,511,261,2
498,112,511,157,2
498,74,511,111,2
498,50,511,55,3
496,264,511,317,2
478,250,491,263,2
474,56,495,77,2
474,50,495,55,3
472,328,511,511,4
472,264,491,307,2
472,196,493,247,2
472,160,493,195,2
472,78,493,159,2
460,50,469,55,3
458,56,469,511,3
442,482,453,511,2
442,348,453,435,2
440,50,453,55,3
372,0,511,49,2
340,328,441,457,2
292,0,365,55,2
280,0,285,17,3
262,56,453,187,2
250,80,261,163,2
250,0,275,49,2
234,330,339,459,2
234,192,451,323,2
234,88,239,157,3
228,0,247,37,2
210,170,225,183,2
204,376,229,459,2
204,184,225,375,2
204,122,225,169,2
204,56,225,121,2
204,0,223,41,2
188,0,197,459,3
142,0,183,459,2
134,392,141,459,2
128,180,133,187,4
126,204,135,215,4
0,462,443,511,2
0,0,119,457,4
