472,580,481,621
472,538,481,579
472,524,479,535
460,6,481,91
454,324,481,405
452,48,457,73
452,32,457,43
440,394,447,399
440,376,453,389
440,342,453,371
440,330,445,337
438,112,481,211
432,330,439,337
416,524,471,621
428,132,437,191
426,372,439,387
426,350,439,365
414,420,481,517
420,372,425,379
420,340,425,345
418,382,425,395
418,354,425,363
418,216,481,313
416,168,421,173
416,154,421,161
416,138,421,153
408,524,415,531
408,508,413,513
408,496,413,501
408,462,413,469
408,420,413,435
400,594,415,621
400,508,407,515
400,476,413,489
400,462,407,471
400,438,413,461
400,422,407,435
400,314,409,317
398,358,411,371
396,562,401,567
396,532,401,537
394,554,399,561
394,498,407,507
394,454,399,463
394,440,399,447
394,426,399,431
394,374,411,415
394,332,411,357
394,322,411,331
394,262,411,313
394,224,411,259
394,158,411,223
394,112,411,157
394,8,447,109
390,470,393,473
388,422,393,427
386,582,393,587
386,504,393,519
386,478,393,487
386,442,393,455
386,432,393,441
382,290,387,303
382,250,387,261
382,114,387,231
382,8,389,109
380,592,395,621
380,584,385,589
380,524,391,537
378,506,385,513
378,460,385,467
374,598,379,619
374,482,379,489
372,500,377,507
372,462,377,471
372,424,385,449
370,396,375,403
370,384,375,391
370,366,377,373
370,352,377,365
370,338,375,351
370,272,375,283
368,288,377,313
366,604,371,619
366,584,371,591
366,548,371,559
366,528,371,533
364,504,371,515
364,442,369,449
358,422,369,441
356,8,379,271
352,604,365,621
352,590,363,605
352,432,357,439
350,446,355,455
344,494,349,501
338,600,351,621
338,432,349,445
336,450,343,461
336,426,341,433
332,560,337,565
330,472,335,479
330,442,335,449
324,608,337,621
316,610,323,621
294,610,309,621
274,606,289,621
266,608,271,615
260,612,265,619
250,572,255,577
248,582,255,587
248,546,255,551
202,606,209,613
178,602,183,609
174,610,185,617
174,574,179,581
174,530,179,535
174,490,181,497
162,454,167,461
162,436,167,443
160,422,169,429
148,554,153,561
146,544,153,551
140,594,157,621
140,574,155,589
140,552,147,557
136,502,145,519
136,494,141,501
136,466,145,483
130,484,145,493
130,432,145,465
118,592,135,615
118,580,135,591
118,560,133,579
118,540,127,551
118,526,135,539
112,482,127,491
112,424,127,479
96,588,113,609
96,572,111,581
96,542,113,567
96,530,113,539
96,444,109,509
94,424,109,443
92,6,351,417
78,198,83,203
78,178,83,197
78,162,83,169
78,152,83,161
78,136,83,147
78,82,83,91
78,64,83,77
78,38,83,51
76,52,83,63
70,94,77,101
68,84,77,91
68,68,77,81
68,42,77,53
68,12,83,29
30,26,41,91
22,496,51,517
22,478,51,493
22,464,51,475
22,442,51,463
22,428,51,439
22,322,51,345
20,172,51,191
20,64,29,85
20,34,29,63
12,228,51,281
10,346,51,389
8,396,51,429
8,290,63,321
8,196,55,227
6,116,57,171
