472,580,479,621,4
472,538,479,579,4
472,524,479,535,4
460,6,479,91,4
454,324,479,405,4
452,48,457,73,4
452,32,457,43,4
440,394,447,399,4
440,376,453,389,4
440,342,453,371,4
440,330,445,337,4
438,112,479,211,4
432,330,439,337,4
416,524,471,621,4
428,132,437,191,4
426,372,439,387,4
426,350,439,365,4
414,420,479,517,4
420,372,425,379,4
420,340,425,345,4
418,382,425,395,4
418,354,425,363,4
418,216,479,313,4
416,168,421,173,4
416,154,421,161,4
416,138,421,153,4
408,524,415,531,4
408,508,413,513,4
408,496,413,501,4
408,462,413,469,4
408,420,413,435,4
400,594,415,621,4
400,508,407,515,4
400,476,413,489,4
400,462,407,471,4
400,438,413,461,4
400,422,407,435,4
400,314,409,317,2
398,358,411,371,1
396,562,401,567,4
396,532,401,537,4
394,554,399,561,4
394,498,407,507,4
394,454,399,463,4
394,440,399,447,4
394,426,399,431,4
394,374,411,415,1
394,332,411,357,1
394,322,411,331,1
394,262,411,313,1
394,224,411,259,1
394,158,411,223,1
394,112,411,157,1
394,8,447,109,1
390,470,393,473,4
388,422,393,427,4
386,582,393,587,4
386,504,393,519,4
386,478,393,487,4
386,442,393,455,4
386,432,393,441,4
382,290,387,303,4
382,250,387,261,4
382,114,387,231,4
382,8,389,109,4
380,592,395,621,4
380,584,385,589,4
380,524,391,537,4
378,506,385,513,4
378,460,385,467,4
374,598,379,619,4
374,482,379,489,4
372,500,377,507,4
372,462,377,471,4
372,424,385,449,4
370,396,375,403,4
370,384,375,391,4
370,366,377,373,4
370,352,377,365,4
370,338,375,351,4
370,272,375,283,4
368,288,377,313,4
366,604,371,619,4
366,584,371,591,4
366,548,371,559,4
366,528,371,533,4
364,504,371,515,4
364,442,369,449,4
358,422,369,441,4
356,8,379,271,4
352,604,365,621,4
352,590,363,605,4
352,432,357,439,4
350,446,355,455,4
344,494,349,501,4
338,600,351,621,4
338,432,349,445,4
336,450,343,461,4
336,426,341,433,4
332,560,337,565,4
330,472,335,479,4
330,442,335,449,4
324,608,337,621,4
316,610,323,621,4
294,610,309,621,4
274,606,289,621,4
266,608,271,615,4
260,612,265,619,4
250,572,255,577,4
248,582,255,587,4
248,546,255,551,4
202,606,209,613,4
178,602,183,609,4
174,610,185,617,4
174,574,179,581,4
174,530,179,535,4
174,490,181,497,4
162,454,167,461,4
162,436,167,443,4
160,422,169,429,4
148,554,153,561,4
146,544,153,551,4
140,594,157,621,4
140,574,155,589,4
140,552,147,557,4
136,502,145,519,4
136,494,141,501,4
136,466,145,483,4
130,484,145,493,4
130,432,145,465,4
118,592,135,615,4
118,580,135,591,4
118,560,133,579,4
118,540,127,551,4
118,526,135,539,4
112,482,127,491,4
112,424,127,479,4
96,588,113,609,4
96,572,111,581,4
96,542,113,567,4
96,530,113,539,4
96,444,109,509,4
94,424,109,443,4
92,6,351,417,4
78,198,83,203,4
78,178,83,197,4
78,162,83,169,4
78,152,83,161,4
78,136,83,147,4
78,82,83,91,4
78,64,83,77,4
78,38,83,51,4
76,52,83,63,4
70,94,77,101,4
68,84,77,91,4
68,68,77,81,4
68,42,77,53,4
68,12,83,29,4
30,26,41,91,4
22,496,51,517,1
22,478,51,493,1
22,464,51,475,1
22,442,51,463,1
22,428,51,439,1
22,322,51,345,1
20,172,51,191,1
20,64,29,85,4
20,34,29,63,4
12,228,51,281,1
10,346,51,389,1
8,396,51,429,1
8,290,63,321,1
8,196,55,227,1
6,116,57,171,1
