476,182,479,199,4
474,328,479,335,4
474,302,479,307,4
470,510,477,535,4
464,222,473,227,4
464,10,479,101,4
462,114,479,173,4
460,180,475,199,4
456,538,467,567,4
454,136,461,165,4
454,114,461,129,4
452,198,457,205,4
450,302,455,309,4
442,514,449,525,4
442,222,449,233,4
438,112,453,167,4
436,450,443,467,4
434,562,445,587,4
432,522,441,555,4
428,140,433,145,4
428,10,463,101,4
426,148,433,167,4
424,192,433,205,4
424,112,433,131,4
420,592,425,605,4
412,570,425,589,4
412,152,415,161,4
412,144,417,151,4
412,116,417,139,4
410,194,415,203,4
396,576,403,587,4
394,112,409,197,4
384,452,389,463,4
384,184,389,191,4
384,10,427,101,4
376,452,381,457,4
376,174,381,179,4
374,506,379,513,4
374,470,389,497,4
372,612,377,617,4
372,598,379,611,4
372,524,389,585,4
366,452,373,461,4
366,192,373,201,4
364,478,371,505,4
364,468,371,477,4
362,596,371,619,4
362,548,371,593,4
362,520,371,547,4
360,190,365,197,4
352,172,373,189,4
350,460,355,465,4
350,112,391,169,4
348,576,355,587,4
348,550,357,563,4
340,176,345,189,4
340,160,347,165,4
340,140,347,157,4
340,120,349,139,4
340,8,383,105,4
334,186,339,193,4
334,162,339,167,4
332,178,339,185,4
332,120,339,155,4
324,184,329,191,4
324,130,331,161,4
322,300,327,307,4
300,296,305,303,4
298,310,305,317,4
288,8,339,105,4
286,222,291,227,4
276,534,349,625,4
270,262,275,269,4
270,224,275,231,4
264,220,269,227,4
262,236,267,241,4
260,292,267,299,4
260,266,267,275,4
256,236,261,241,4
252,372,259,379,4
252,380,259,387,4
252,340,259,353,4
252,328,257,335,4
252,220,261,233,4
246,348,251,355,4
246,258,251,265,4
244,444,341,531,4
244,414,251,421,4
244,378,251,387,4
244,332,251,345,4
244,290,259,305,4
240,468,245,475,4
240,450,245,463,4
240,440,245,449,4
238,254,243,259,4
238,224,245,231,4
232,338,237,345,4
232,294,237,303,4
230,538,273,627,4
230,378,235,383,4
224,340,229,347,4
222,382,227,389,4
222,296,229,305,4
220,534,227,587,4
220,440,237,507,4
216,592,227,625,4
216,222,223,235,4
214,290,221,299,4
208,440,217,519,4
208,412,213,419,4
208,390,213,397,4
208,382,213,389,4
208,292,213,299,4
206,520,217,573,4
206,304,213,311,4
200,338,207,347,4
198,404,205,425,4
198,294,205,305,4
198,260,203,267,4
192,526,205,565,4
192,500,205,525,4
192,482,205,499,4
192,456,205,481,4
192,440,207,455,4
192,366,197,371,4
190,410,197,425,4
190,360,197,365,4
190,340,197,351,4
190,112,323,203,4
188,6,287,105,4
184,412,189,425,4
184,252,189,257,4
184,236,189,249,4
182,392,189,411,4
182,366,189,379,4
182,336,187,343,4
182,264,189,281,4
182,220,189,229,4
160,458,169,469,4
160,440,169,455,4
160,286,169,313,4
158,478,169,547,4
158,470,169,477,4
156,548,169,575,4
156,430,169,437,4
156,392,169,425,4
156,314,169,391,4
156,260,171,285,4
156,222,171,259,4
154,604,171,621,4
154,576,169,603,4
114,346,143,381,2
110,516,143,599,2
110,386,143,507,2
110,300,145,345,2
110,220,145,293,2
110,0,187,209,2
0,0,105,635,2
