464,28,476,40,4
464,8,479,24,4
436,112,452,124,4
428,8,444,24,4
396,112,408,124,4
384,8,400,20,4
352,112,364,124,4
340,8,356,24,4
288,8,304,20,4
276,596,292,628,4
240,592,248,616,4
216,600,232,628,4
192,56,204,68,4
188,112,204,124,4
176,44,184,56,4
140,148,152,180,2
128,116,156,136,2
128,20,156,100,2
112,516,156,600,2
112,388,148,508,2
112,304,148,380,2
112,220,148,296,2
92,288,100,316,4
88,0,108,44,4
84,320,100,388,4
76,584,104,628,4
72,340,84,380,4
72,292,88,312,4
72,244,88,256,4
16,408,68,580,2
16,260,68,404,2
16,152,68,256,2
16,60,68,144,2
0,596,8,628,4
