476,182,481,199
474,328,479,335
474,302,479,307
470,510,477,535
464,222,473,227
464,10,481,101
462,114,481,173
460,180,475,199
456,538,467,567
454,136,461,165
454,114,461,129
452,198,457,205
450,302,455,309
442,514,449,525
442,222,449,233
438,112,453,167
436,450,443,467
434,562,445,587
432,522,441,555
428,140,433,145
428,10,463,101
426,148,433,167
424,192,433,205
424,112,433,131
420,592,425,605
412,570,425,589
412,152,415,161
412,144,417,151
412,116,417,139
410,194,415,203
396,576,403,587
394,112,409,197
384,452,389,463
384,184,389,191
384,10,427,101
376,452,381,457
376,174,381,179
374,506,379,513
374,470,389,497
372,612,377,617
372,598,379,611
372,524,389,585
366,452,373,461
366,192,373,201
364,478,371,505
364,468,371,477
362,596,371,619
362,548,371,593
362,520,371,547
360,190,365,197
352,172,373,189
350,460,355,465
350,112,391,169
348,576,355,587
348,550,357,563
340,176,345,189
340,160,347,165
340,140,347,157
340,120,349,139
340,8,383,105
334,186,339,193
334,162,339,167
332,178,339,185
332,120,339,155
324,184,329,191
324,130,331,161
322,300,327,307
300,296,305,303
298,310,305,317
288,8,339,105
286,222,291,227
276,534,349,625
270,262,275,269
270,224,275,231
264,220,269,227
262,236,267,241
260,292,267,299
260,266,267,275
256,236,261,241
252,372,259,379
252,380,259,387
252,340,259,353
252,328,257,335
252,220,261,233
246,348,251,355
246,258,251,265
244,444,341,531
244,414,251,421
244,378,251,387
244,332,251,345
244,290,259,305
240,468,245,475
240,450,245,463
240,440,245,449
238,254,243,259
238,224,245,231
232,338,237,345
232,294,237,303
230,538,273,627
230,378,235,383
224,340,229,347
222,382,227,389
222,296,229,305
220,534,227,587
220,440,237,507
216,592,227,625
216,222,223,235
214,290,221,299
208,440,217,519
208,412,213,419
208,390,213,397
208,382,213,389
208,292,213,299
206,520,217,573
206,304,213,311
200,338,207,347
198,404,205,425
198,294,205,305
198,260,203,267
192,526,205,565
192,500,205,525
192,482,205,499
192,456,205,481
192,440,207,455
192,366,197,371
190,410,197,425
190,360,197,365
190,340,197,351
190,112,323,203
188,6,287,105
184,412,189,425
184,252,189,257
184,236,189,249
182,392,189,411
182,366,189,379
182,336,187,343
182,264,189,281
182,220,189,229
160,458,169,469
160,440,169,455
160,286,169,313
158,478,169,547
158,470,169,477
156,548,169,575
156,430,169,437
156,392,169,425
156,314,169,391
156,260,171,285
156,222,171,259
154,604,171,621
154,576,169,603
114,346,143,381
110,516,143,599
110,386,143,507
110,300,145,345
110,220,145,293
110,0,187,209
0,0,105,635
