476,212,480,232
476,192,480,204
476,172,480,184
476,156,480,160
476,152,480,156
476,24,480,144
464,172,468,176
460,172,464,176
456,164,468,168
452,252,456,256
452,248,456,252
420,184,456,248
420,172,428,180
400,192,416,204
384,236,392,248
384,184,396,192
380,212,400,232
380,4,472,160
360,212,372,224
360,164,376,184
360,112,376,132
360,100,376,108
352,544,464,632
344,116,356,128
324,168,336,180
308,172,320,180
304,160,312,168
284,568,296,576
284,100,296,116
264,588,308,640
264,8,376,92
244,240,252,252
244,92,256,104
240,628,264,640
232,628,236,632
232,624,236,628
220,628,224,632
216,628,220,632
212,144,224,156
208,204,220,212
204,92,220,108
196,560,224,584
192,204,200,216
192,128,204,136
188,104,200,112
180,600,216,632
172,80,176,84
168,8,260,72
164,104,184,132
68,284,464,544
152,124,160,132
152,32,160,52
148,8,164,28
140,572,168,616
132,112,144,124
128,32,144,44
112,88,124,116
108,48,144,72
108,8,144,28
104,592,132,616
76,84,92,104
20,516,48,640
16,436,44,488
4,292,44,416
0,84,44,284
0,8,44,68
