4,8,8,52
4,56,8,68
4,92,40,152
4,316,40,416
4,420,40,500
8,156,44,228
8,232,44,312
12,16,28,72
36,12,40,36
36,40,40,56
48,352,56,500
52,68,56,72
52,72,56,76
52,80,56,84
52,84,56,88
52,132,56,136
52,136,56,140
52,200,56,204
52,204,56,208
52,220,56,224
52,224,56,228
56,8,64,132
56,212,64,500
64,144,68,192
72,8,336,340
72,340,112,420
72,424,104,496
108,428,124,500
116,360,124,396
124,340,132,368
124,372,132,384
124,348,144,412
128,452,132,464
128,468,132,484
136,428,144,500
148,364,152,392
148,444,152,464
148,472,152,476
148,476,152,480
156,352,168,408
156,436,184,504
160,432,172,456
172,348,204,408
188,472,192,484
196,440,284,504
212,368,224,380
212,384,224,400
216,404,220,408
216,408,220,412
224,352,228,356
224,348,232,360
224,436,232,460
228,352,288,420
248,432,260,452
264,428,268,432
264,432,268,436
288,428,512,512
292,4,300,28
292,344,336,424
340,348,512,428
356,4,380,140
360,144,376,340
376,324,384,344
380,4,388,88
380,92,388,320
388,276,400,324
392,4,404,80
392,92,404,144
392,172,404,208
392,212,404,256
392,260,404,272
392,328,404,344
396,148,404,168
408,12,420,68
408,236,424,256
408,264,424,288
408,284,448,340
412,176,456,252
420,16,436,88
420,88,512,172
428,268,436,284
444,264,448,280
448,4,492,84
448,204,468,256
452,272,472,340
448,176,460,188
448,176,472,200
476,188,504,244
476,260,496,344
480,232,484,248
480,232,484,252
480,232,488,256
484,176,488,180
484,180,488,184
496,4,512,84
500,184,504,188
500,280,504,284
500,276,512,288
500,292,512,344
500,180,508,192
504,216,512,220
504,216,512,224
504,236,508,240
504,240,508,244
500,176,512,192
508,192,512,204
508,264,512,268
508,268,512,272
