4,8,8,52,4
4,56,8,68,4
4,92,40,152,1
4,316,40,416,1
4,420,40,500,2
8,156,44,228,1
8,232,44,312,1
12,16,28,72,4
36,12,40,36,4
36,40,40,56,4
48,212,64,500,4
52,8,64,136,4
52,136,56,140,4
52,200,56,204,4
52,204,56,208,4
64,144,68,192,4
72,8,336,340,4
72,340,112,420,1
72,424,104,496,1
108,428,124,500,1
116,360,124,396,4
124,340,136,384,1
124,388,128,392,1
124,396,132,420,1
128,388,132,392,4
128,452,132,464,4
128,468,132,484,4
136,348,144,412,4
136,428,144,500,4
148,364,152,392,4
148,444,152,464,4
148,472,152,476,4
148,476,152,480,4
156,352,168,408,4
156,432,184,504,4
172,344,212,420,4
176,340,180,344,4
180,340,184,344,4
188,472,192,484,4
196,428,512,512,4
212,352,224,412,4
224,348,236,356,4
224,348,236,360,4
228,348,288,420,4
292,4,300,28,2
292,344,336,424,4
340,344,512,428,4
344,328,348,332,4
344,332,348,336,4
356,4,388,340,4
376,92,388,344,4
388,260,404,324,1
392,4,404,80,1
392,92,404,168,1
392,172,404,256,1
392,328,404,344,1
408,12,420,68,1
408,176,512,256,2
408,260,512,344,2
420,16,436,88,1
420,88,512,172,2
448,4,512,84,2
