0,0,630,750
0,768,54,958
0,984,30,1022
40,984,78,1022
72,808,78,910
88,768,134,942
88,936,102,950
112,976,142,1022
144,816,150,894
168,784,198,934
176,992,198,1022
208,768,294,926
216,1008,238,1022
240,952,246,958
248,952,254,958
280,952,286,958
288,952,294,958
312,776,342,838
312,848,342,958
312,992,318,1022
328,984,334,1006
344,776,366,838
344,984,382,1022
352,792,502,966
384,1000,390,1022
392,784,406,806
400,992,422,1014
400,672,438,758
416,776,422,782
416,784,422,790
432,1008,454,1022
440,984,454,998
464,984,622,1022
472,768,486,782
520,768,622,974
640,784,646,806
640,776,1022,982
640,984,1022,1022
648,704,654,710
648,696,662,718
648,728,654,734
648,736,654,742
672,0,734,254
696,576,726,758
704,264,734,398
704,504,726,574
720,408,734,430
720,440,734,486
736,688,750,758
744,120,758,254
744,264,750,654
752,0,758,94
768,120,806,758
776,0,806,94
816,0,838,86
816,336,822,342
816,344,822,350
816,400,822,406
816,408,822,414
816,440,822,446
816,448,822,454
832,664,838,718
832,728,838,734
832,736,838,742
840,344,854,366
840,392,854,414
840,440,854,462
840,504,846,510
848,0,886,110
848,160,854,286
848,472,870,478
848,504,854,510
848,584,862,590
848,688,870,734
848,472,870,486
848,584,862,598
856,648,878,670
864,120,982,270
864,240,902,318
880,368,886,390
880,384,934,422
880,680,894,702
880,712,894,726
880,712,894,734
912,288,934,294
912,344,966,382
912,512,918,518
912,520,918,526
912,696,918,718
920,0,1022,110
920,640,950,670
920,720,934,734
920,720,934,742
928,272,934,278
928,680,966,702
928,680,966,710
944,304,950,310
944,504,950,510
944,712,966,742
952,312,958,318
952,496,958,502
952,656,966,670
960,384,966,390
960,376,966,398
960,408,966,414
960,416,966,422
952,640,966,670
952,624,974,670
992,120,1022,254
992,304,998,310
992,312,998,318
992,712,1006,742
1000,336,1022,550
1008,264,1022,278
1008,304,1022,318
1016,560,1022,614
1016,624,1022,670
1016,680,1022,726
