0,16,8,32
0,36,36,228
0,240,4,264
0,332,4,384
0,392,8,512
20,260,72,352
20,360,60,468
24,488,32,512
32,224,40,232
32,228,40,236
32,232,40,240
32,236,40,244
32,240,40,248
32,244,40,252
32,100,56,128
20,132,60,148
32,152,56,168
20,172,56,208
36,204,44,212
36,208,44,216
28,204,56,252
48,504,52,508
48,508,52,512
76,284,88,308
88,380,92,404
88,416,92,456
100,96,352,468
100,484,116,508
104,8,108,12
108,8,112,12
120,484,128,496
124,500,132,504
124,500,132,508
140,500,152,508
144,68,152,72
144,488,148,492
144,68,152,76
148,488,152,492
312,84,320,92
316,72,320,76
316,76,320,80
324,64,340,88
356,64,360,68
356,68,360,72
356,84,360,88
356,88,360,92
356,224,364,276
360,108,364,128
360,140,364,180
360,188,364,204
364,12,476,92
368,104,372,128
368,148,372,184
368,244,372,276
380,100,392,128
380,172,392,200
380,204,392,272
380,276,384,280
380,280,384,284
380,380,392,432
380,440,392,464
384,132,392,168
384,316,388,320
384,320,388,324
384,352,388,356
384,356,388,360
396,384,408,392
396,396,408,464
400,220,404,240
400,244,404,256
400,260,404,264
400,264,404,268
400,508,404,512
404,508,408,512
408,148,416,172
408,200,456,260
408,264,412,268
408,244,424,272
412,116,416,120
412,120,416,124
412,128,416,140
416,388,424,428
416,436,420,440
416,432,424,444
416,448,424,468
420,104,424,116
420,124,448,176
428,100,444,120
440,416,444,420
440,420,444,424
448,100,464,112
448,152,452,168
452,120,464,132
460,204,464,224
468,100,472,112
468,120,476,128
468,120,476,132
468,140,472,152
468,156,472,176
468,200,476,220
460,48,488,92
480,28,488,44
484,4,496,16
492,24,504,76
500,4,512,24
508,28,512,60
